ID,Title,Directed by,Produced by,Cinematography,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Production companies,Release Year,SentimentScore,Budget (float),Box Office Status
1009,The Intern,Nancy Meyers,"['Nancy Meyers', 'Suzanne Farwell']",Stephen Goldblatt,121.0,2015-09-25,Warner Bros. Pictures,English,Nancy Meyers,"['Robert De Niro', 'Anne Hathaway', 'Rene Russo']",Robert Leighton,"['RatPac-Dune Entertainment', 'Waverly Films']",2015,0.8,35000000.0,Success
1010,Mississippi Grind,"['Anna Boden', 'Ryan Fleck']","['Lynette Howell', 'Ben Nearn', 'Jamie Patricof', 'Tom Rice']",Andrij Parekh,108.0,2015-01-24,"['A24 DirecTV (United States)', 'Annapurna International (international)']",English,"['Anna Boden', 'Ryan Fleck']","['Ben Mendelsohn', 'Ryan Reynolds', 'Sienna Miller', 'Lio Tipton', 'Alfre Woodard']",Anna Boden,"['Sycamore Pictures', 'Electric City Entertainment']",2015,0.6071428571428571,7100000.0,Failure
1011,The Walk,Robert Zemeckis,"['Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']",Dariusz Wolski,123.0,2015-09-26,Sony Pictures Releasing,English,"['Robert Zemeckis', 'Christopher Browne']","['Joseph Gordon-Levitt', 'Ben Kingsley', 'Charlotte Le Bon', 'James Badge Dale']",Jeremiah O'Driscoll,"['TriStar Pictures', 'TriStar Productions', 'LStar Capital', 'ImageMovers']",2015,0.64,35000000.0,Failure
1012,The Martian,Ridley Scott,"['Simon Kinberg', 'Ridley Scott', 'Michael Schaefer', 'Mark Huffam']",Dariusz Wolski,142.0,2015-09-11,20th Century Fox,English,Drew Goddard,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Jeff Daniels', 'Michael Peña', 'Sean Bean', 'Kate Mara', 'Sebastian Stan', 'Aksel Hennie', 'Mackenzie Davis', 'Benedict Wong', 'Donald Glover', 'Chen Shu', 'Eddy Ko', 'Chiwetel Ejiofor']",Pietro Scalia,"['Scott Free Productions', 'Kinberg Genre', 'TSG Entertainment']",2015,0.6,108000000.0,Success
1013,Freeheld,Peter Sollett,"['Elliot Page', 'Michael Shamberg', 'Stacey Sher', 'James D. Stern', 'Cynthia Wade']",Maryse Alberti,103.0,2015-09-13,Lionsgate,English,Ron Nyswaner,"['Julianne Moore', 'Elliot Page', 'Michael Shannon', 'Steve Carell']",Andrew Mondshein,"['Summit Entertainment', 'Bankside Films', 'Endgame Entertainment', 'Head Gear Films', 'High Frequency Entertainment', 'Double Feature Films']",2015,0.5897435897435898,7000000.0,Failure
1014,Steve Jobs,Danny Boyle,"['Mark Gordon', 'Guymon Casady', 'Scott Rudin', 'Danny Boyle', 'Christian Colson']",Alwin Küchler,122.0,2015-09-05,Universal Pictures,English,Aaron Sorkin,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen', 'Jeff Daniels', 'Michael Stuhlbarg', 'Katherine Waterston']",Elliot Graham,"['Legendary Pictures', 'Scott Rudin Productions', 'Entertainment 360', 'The Mark Gordon Company', 'Decibel Films', 'Cloud Eight Films']",2015,0.72,30000000.0,Failure
1015,Pan,Joe Wright,"['Greg Berlanti', 'Sarah Schechter', 'Paul Webster']","['Seamus McGarvey', 'John Mathieson']",111.0,2015-09-20,Warner Bros. Pictures,English,Jason Fuchs,"['Hugh Jackman', 'Garrett Hedlund', 'Rooney Mara', 'Amanda Seyfried', 'Levi Miller']","['Paul Tothill', 'William Hoy']","['Berlanti Productions', 'RatPac-Dune Entertainment']",2015,0.71,150000000.0,Failure
1016,Knock Knock,Eli Roth,"['Colleen Camp', 'Tim Degraye', 'Cassian Elwes', 'Eli Roth', 'Nicolás López', 'Miguel Asensio Llamas']",Antonio Quercia,99.0,2015-01-23,Lionsgate Premiere,English,"['Eli Roth', 'Guillermo Amoedo', 'Nicolás López']","['Keanu Reeves', 'Lorenza Izzo', 'Ana de Armas', 'Aaron Burns', 'Ignacia Allamand', 'Colleen Camp']",Diego Macho,"['Voltage Pictures', 'Dragonfly Entertainment', 'Sobras International Pictures', 'Camp Grey Productions', 'Elevated Films', 'Black Bear Pictures']",2015,0.39,10000000.0,Failure
1017,Beasts of No Nation,Cary Joji Fukunaga,"['Amy Kaufman', 'Cary Joji Fukunaga', 'Daniela Taplin Lundberg', 'Riva Marker', 'Jeffrey Skoll', 'Daniel Crown', 'Idris Elba', 'Uzodinma Iweala']",Cary Joji Fukunaga,138.0,2015-09-03,"['Netflix', 'Bleecker Street']",English,Cary Joji Fukunaga,"['Idris Elba', 'Kurt Egyiawan', 'Jude Akuwudike', 'Emmanuel ""King Kong"" Nii Adom Quaye', 'Abraham Attah']","['Mikkel E. G. Nielsen', 'Pete Beaudreau']","['Participant Media', 'Red Crown Productions', 'New Balloon', 'Primary Productions', 'Parliament of Owls']",2015,0.8,6000000.0,Failure
1018,Bridge of Spies,Steven Spielberg,"['Marc Platt', 'Steven Spielberg', 'Kristie Macosko Krieger']",Janusz Kamiński,141.0,2015-10-04,"['Walt Disney Studios Motion Pictures (United States and Canada)', '20th Century Fox (International)']",English,"['Matt Charman', 'Ethan Coen Joel Coen']","['Tom Hanks', 'Mark Rylance', 'Amy Ryan', 'Alan Alda']",Michael Kahn,"['DreamWorks Pictures', 'Fox 2000 Pictures', 'Reliance Entertainment', 'Participant Media', 'Afterworks Limited', 'Studio Babelsberg', 'Amblin Entertainment', 'Marc Platt Productions']",2015,0.76,40000000.0,Success
1019,Crimson Peak,Guillermo del Toro,"['Guillermo del Toro', 'Callum Greene', 'Jon Jashni', 'Thomas Tull']",Dan Laustsen,119.0,2015-09-25,Universal Pictures,English,"['Guillermo del Toro', 'Matthew Robbins']","['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam', 'Jim Beaver']",Bernat Vilaplana,"['Legendary Pictures', 'Double Dare You Productions']",2015,0.65,55000000.0,Failure
1020,Goosebumps,Rob Letterman,"['Deborah Forte', 'Neal H. Moritz']",Javier Aguirresarobe,103.0,2015-06-24,Sony Pictures Releasing,English,Darren Lemke,"['Jack Black', 'Dylan Minnette', 'Odeya Rush', 'Amy Ryan', 'Ryan Lee', 'Jillian Bell']",Jim May,"['Columbia Pictures', 'Sony Pictures Animation', 'LStar Capital', 'Village Roadshow Pictures', 'Original Film', 'Scholastic Entertainment Inc.']",2015,0.52,58000000.0,Success
1021,Room,Lenny Abrahamson,"['Ed Guiney', 'David Gross']",Danny Cohen,118.0,2015-09-04,"['Elevation Pictures (Canada)', 'StudioCanal (United Kingdom and Ireland)', 'A24 (United States)']",English,Emma Donoghue,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'Sean Bridgers', 'Tom McCamus', 'William H. Macy']",Nathan Nugent,"['FilmNation Entertainment', 'Telefilm Canada', 'Film4', 'Bórd Scannán na hÉireann/Irish Film Board', 'Ontario Media Development Corporation', 'Element Pictures', 'No Trace Camping', 'Duperele Films']",2015,0.63,13000000.0,Success
1022,Woodlawn,['Erwin Brothers'],"['Kevin Downes', 'Daryl Lefever', 'Joe Knopp']",Kristopher Kimlin,124.0,2015-10-16,Pure Flix Entertainment,English,"['Quinton Peeples', 'Jon Erwin']","['Sean Astin', 'Nic Bishop', 'Caleb Castille', 'Sherri Shepherd', 'Jon Voight', 'C. Thomas Howell']","['Brent McCorkle', 'Andrew Erwin']","['Crescent City Pictures', 'Lightworkers Media', 'Pure Flix Entertainment']",2015,0.79,13000000.0,Failure
1023,Truth,James Vanderbilt,"['Bradley J. Fischer', 'Doug Mankoff', 'Brett Ratner', 'William Sherak', 'Andy Spaulding', 'James Vanderbilt']",Mandy Walker,125.0,2015-09-12,Sony Pictures Classics,English,James Vanderbilt,"['Cate Blanchett', 'Robert Redford', 'Topher Grace', 'Elisabeth Moss', 'Bruce Greenwood', 'Stacy Keach', 'Dennis Quaid']",Richard Francis-Bruce,"['Echo Lake Entertainment', 'Mythology Entertainment', 'RatPac-Dune Entertainment', 'Dirty Films']",2015,0.3636363636363636,9600000.0,Failure
1024,Rock the Kasbah,Barry Levinson,"['Steve Bing', 'Bill Block', 'Jacob Pechenik']",Sean Bobbitt,106.0,2015-10-22,Open Road Films,English,Mitch Glazer,"['Bill Murray', 'Kate Hudson', 'Beejan Land', 'Zooey Deschanel', 'Danny McBride', 'Scott Caan', 'Leem Lubany', 'Arian Moayed', 'Bruce Willis']",Aaron Yanes,"['Shangri-La Entertainment', 'Covert Media', 'Venture Forth']",2015,0.58,15000000.0,Failure
1025,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,"['Jason Blum', 'Oren Peli']",John Rutland,88.0,2015-10-23,Paramount Pictures,English,"['Jason Harry Pagan', 'Andrew Deutschman', 'Adam Robitel', 'Gavin Heffernan']","['Chris J. Murray', 'Brittany Shaw', 'Olivia Taylor Dudley', 'Dan Gill', 'Ivy George', 'Jessica Tyler Brown', 'Chloe Csengery', 'Don McManus', 'Hallie Foote']",Michel Aller,"['Blumhouse Productions', 'Solana Films', 'Room 101, Inc.']",2015,0.5,10000000.0,Success
1027,The Last Witch Hunter,Breck Eisner,"['Mark Canton', 'Vin Diesel', 'Bernie Goldmann']",Dean Semler,106.0,2015-10-13,Lionsgate,English,"['Cory Goodman', 'Matt Sazama Burk Sharpless']","['Vin Diesel', 'Elijah Wood', 'Rose Leslie', 'Julie Engelbrecht', 'Michael Caine']","['Dean Zimmerman', 'Chris Lebenzon']","['Summit Entertainment', 'Mark Canton Productions', 'One Race Films', 'Goldmann Pictures']",2015,0.71,71000000.0,Failure
1028,Bone Tomahawk,S. Craig Zahler,"['Jack Heller', 'Dallas Sonnier']",Benji Bakshi,132.0,2015-10-01,RLJ Entertainment,English,S. Craig Zahler,"['Kurt Russell', 'Patrick Wilson', 'Matthew Fox', 'Lili Simmons', 'Richard Jenkins', 'Evan Jonigkeit', 'Kathryn Morris', 'Sid Haig', 'David Arquette', 'Fred Melamed']","[""Greg D'Auria"", 'Fred Raskin']","['Caliber Media Company', 'The Fyzz Facility']",2015,0.75,1800000.0,Failure
1029,Scouts Guide to the Zombie Apocalypse,Christopher Landon,"['Todd Garner', 'Andy Fickman']",Brandon Trost,93.0,2015-10-30,Paramount Pictures,English,"['Carrie Evans', 'Emi Mochizuki', 'Christopher Landon']","['Tye Sheridan', 'David Koechner']",Jim Page,Broken Road Productions,2015,0.62,15000000.0,Failure
1030,Our Brand Is Crisis,David Gordon Green,"['Grant Heslov', 'George Clooney']",Tim Orr,107.0,2015-09-11,Warner Bros. Pictures,English,Peter Straughan,"['Sandra Bullock', 'Billy Bob Thornton', 'Anthony Mackie', 'Joaquim de Almeida', 'Ann Dowd', 'Scoot McNairy', 'Zoe Kazan']",Colin Patton,"['Participant Media', 'RatPac-Dune Entertainment', 'Smokehouse Pictures', 'Fortis Films']",2015,0.64,28000000.0,Failure
1031,Freaks of Nature,Robbie Pickering,Matt Tolmach,Uta Briesewitz,92.0,2015-10-30,Sony Pictures Releasing,English,Oren Uziel,"['Nicholas Braun', 'Mackenzie Davis', 'Josh Fadem', 'Joan Cusack', 'Bob Odenkirk', 'Patton Oswalt', 'Ed Westwick', 'Vanessa Hudgens', 'Denis Leary']",Craig Alpert,"['Columbia Pictures', 'LStar Capital']",2015,0.59,33000000.0,Failure
1032,Burnt,John Wells,"['Stacey Sher', 'Erwin Stoff', 'John Wells']",Adriano Goldman,101.0,2015-10-22,The Weinstein Company,English,Steven Knight,"['Bradley Cooper', 'Sienna Miller', 'Omar Sy', 'Daniel Brühl', 'Riccardo Scamarcio', 'Sam Keeley', 'Alicia Vikander', 'Matthew Rhys', 'Lily James', 'Uma Thurman', 'Emma Thompson']",Nick Moore,"['Shiny Penny Productions', '3 Arts Entertainment', 'Battle Mountain Films']",2015,0.7,20000000.0,Failure
1033,Spectre,Sam Mendes,"['Michael G. Wilson', 'Barbara Broccoli']",Hoyte van Hoytema,148.0,2015-10-26,Sony Pictures Releasing,English,"['John Logan', 'Neal Purvis Robert Wade', 'Jez Butterworth']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ben Whishaw', 'Naomie Harris', 'Dave Bautista', 'Monica Bellucci', 'Ralph Fiennes']",Lee Smith,"['Eon Productions', 'Metro-Goldwyn-Mayer Pictures', 'Columbia Pictures', 'B24', 'Danjaq']",2015,0.85,245000000.0,Success
1034,Spotlight,Tom McCarthy,"['Blye Pagon Faust', 'Steve Golin', 'Nicole Rocklin', 'Michael Sugar']",Masanobu Takayanagi,129.0,2015-09-03,"['Open Road Films (United States)', 'Entertainment One Features (International)']",English,"['Josh Singer', 'Tom McCarthy']","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery', 'Stanley Tucci']",Tom McArdle,"['Participant Media', 'First Look Media', 'Anonymous Content', 'Rocklin/Faust Productions', 'Spotlight Film']",2015,0.77,20000000.0,Success
1036,The 33,Patricia Riggen,"['Robert Katz', 'Edward McGurn', 'Mike Medavoy']",Checco Varese,127.0,2015-08-06,"['Alcon Entertainment and Warner Bros. Pictures (North America and select international territories)', 'Fox International Productions 20th Century Fox (Latin America)', 'Good Universe (International)']",English,"['Mikko Alanne', 'Craig Borten', 'Michael Thomas']","['Antonio Banderas', 'Rodrigo Santoro', 'Juliette Binoche', 'James Brolin', 'Bob Gunton', 'Gabriel Byrne', 'Lou Diamond Phillips', 'Jacob Vargas']",Michael Tronick,Phoenix Pictures,2015,0.7,26000000.0,Failure
1037,My All American,Angelo Pizzo,['Paul Schiff'],Frank G. DeMarco,118.0,2015-11-13,Clarius Entertainment,English,['Angelo Pizzo'],"['Aaron Eckhart', 'Finn Wittrock', 'Robin Tunney', 'Sarah Bolger']",Dan Zimmerman,"['Anthem Productions', 'Paul Schiff Productions']",2015,0.64,20000000.0,Failure
1038,Love the Coopers,Jessie Nelson,"['Michael London', 'Jessie Nelson', 'Janice Williams']",Elliot Davis,107.0,2015-11-04,['Lionsgate'],English,Steven Rogers,"['Alan Arkin', 'John Goodman', 'Ed Helms', 'Diane Keaton', 'Anthony Mackie', 'Amanda Seyfried', 'June Squibb', 'Marisa Tomei', 'Olivia Wilde']",Nancy Richardson,"['Groundswell Productions', 'Imagine Entertainment', 'CBS Films']",2015,0.7,17000000.0,Success
1039,By the Sea,Angelina Jolie Pitt,"['Angelina Jolie Pitt', 'Brad Pitt']",Christian Berger,122.0,2015-11-05,Universal Pictures,English,Angelina Jolie Pitt,"['Brad Pitt', 'Angelina Jolie Pitt', 'Mélanie Laurent', 'Niels Arestrup', 'Melvil Poupaud', 'Richard Bohringer']","['Martin Pensa', 'Patricia Rommel']","['Jolie Pas', 'Plan B Entertainment']",2015,0.4526315789473684,10000000.0,Failure
1040,Carol,Todd Haynes,"['Elizabeth Karlsen', 'Stephen Woolley', 'Christine Vachon']",Edward Lachman,119.0,2015-05-17,"['StudioCanal (United Kingdom)', 'The Weinstein Company (United States)']",English,Phyllis Nagy,"['Cate Blanchett', 'Rooney Mara', 'Sarah Paulson', 'Jake Lacy', 'Kyle Chandler']",Affonso Gonçalves,"['Number 9 Films', 'Film4', 'Killer Films']",2015,0.81,11800000.0,Success
1041,Legend,Brian Helgeland,"['Tim Bevan', 'Eric Fellner', 'Chris Clark', 'Quentin Curtis', 'Brian Oliver']",Dick Pope,131.0,2015-09-09,"['StudioCanal (International)', 'Universal Pictures (North America)']",English,Brian Helgeland,"['Tom Hardy', 'Emily Browning', 'David Thewlis', 'Duffy', 'Christopher Eccleston', 'Chazz Palminteri']",Peter McNulty,"['Cross Creek Pictures', 'StudioCanal', 'Working Title Films', 'Anton Capital Entertainment']",2015,0.74,25000000.0,Failure
1042,The Hunger Games: Mockingjay – Part 2,Francis Lawrence,"['Nina Jacobson', 'Jon Kilik']",Jo Willems,137.0,2015-11-04,Lionsgate,English,"['Peter Craig', 'Danny Strong']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland']","['Alan Edward Bell', 'Mark Yoshikawa']","['Color Force', 'Lionsgate']",2015,0.44,160000000.0,Success
1043,The Night Before,Jonathan Levine,"['Evan Goldberg', 'Seth Rogen', 'James Weaver']",Brandon Trost,101.0,2015-11-16,Sony Pictures Releasing,English,"['Jonathan Levine', 'Kyle Hunter', 'Ariel Shaffir', 'Evan Goldberg']","['Joseph Gordon-Levitt', 'Seth Rogen', 'Anthony Mackie', 'Lizzy Caplan', 'Jillian Bell', 'Mindy Kaling', 'Michael Shannon']",Zene Baker,"['Columbia Pictures', 'LStar Capital', 'Good Universe', 'Point Grey Pictures']",2015,0.61,25000000.0,Failure
1044,Creed,Ryan Coogler,"['Irwin Winkler', 'Robert Chartoff', 'Charles Winkler', 'William Chartoff', 'David Winkler', 'Kevin King-Templeton', 'Sylvester Stallone']",Maryse Alberti,133.0,2015-11-19,Warner Bros. Pictures,English,"['Ryan Coogler', 'Aaron Covington']","['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad', 'Anthony Bellew']","['Michael P. Shawver', 'Claudia Castello']","['', 'New Line Cinema', 'Chartoff-Winkler Productions']",2015,0.69,35000000.0,Success
1046,Victor Frankenstein,Paul McGuigan,John Davis,Fabian Wagner,110.0,2015-11-11,20th Century Fox,English,Max Landis,"['Daniel Radcliffe', 'James McAvoy', 'Jessica Brown Findlay', 'Andrew Scott', 'Charles Dance']","['Andrew Hulme', 'Charlie Phillips']","['Davis Entertainment Company', 'TSG Entertainment', 'Moving Picture Company']",2015,0.61,40000000.0,Failure
1047,Krampus,Michael Dougherty,"['Thomas Tull', 'Jon Jashni', 'Alex Garcia', 'Michael Dougherty']",Jules O'Loughlin,97.0,2015-11-30,Universal Pictures,English,"['Todd Casey', 'Michael Dougherty', 'Zach Shields']","['Adam Scott', 'Toni Collette', 'David Koechner', 'Allison Tolman', 'Conchata Ferrell', 'Emjay Anthony', 'Stefania LaVie Owen', 'Krista Stadler']",John Axelrad,"['Legendary Pictures', 'Zam Pictures']",2015,0.54,15000000.0,Success
1048,In the Heart of the Sea,Ron Howard,"['Brian Grazer', 'Ron Howard', 'Will Ward', 'Joe Roth', 'Paula Weinstein']",Anthony Dod Mantle,122.0,2015-12-07,Warner Bros. Pictures,English,Charles Leavitt,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Tom Holland', 'Ben Whishaw', 'Brendan Gleeson']","['Dan Hanley', 'Mike Hill']","['Village Roadshow Pictures', 'Roth Films', 'Imagine Entertainment', 'RatPac-Dune Entertainment', 'COTT Productions', 'Enelmar Productions A.I.E.', 'Spring Creek Pictures', 'Kia Jam']",2015,0.74,100000000.0,Failure
1049,The Big Short,Adam McKay,"['Brad Pitt', 'Dede Gardner', 'Jeremy Kleiner', 'Arnon Milchan']",Barry Ackroyd,130.0,2015-11-12,Paramount Pictures,English,"['Charles Randolph', 'Adam McKay']","['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",Hank Corwin,"['Regency Enterprises', 'Plan B Entertainment']",2015,0.61,50000000.0,Success
1051,Sisters,Jason Moore,"['Tina Fey', 'Jay Roach', 'John Lyons']",Barry Peterson,118.0,2015-12-09,Universal Pictures,English,Paula Pell,"['Tina Fey', 'Amy Poehler', 'Maya Rudolph', 'Ike Barinholtz', 'James Brolin', 'John Cena', 'John Leguizamo', 'Dianne Wiest']",Lee Haxall,"['Little Stranger', 'Everyman Pictures']",2015,0.62,33000000.0,Success
1052,Star Wars: The Force Awakens,J. J. Abrams,"['Kathleen Kennedy', 'J. J. Abrams', 'Bryan Burk']",Dan Mindel,138.0,2015-12-14,"['Walt Disney Studios', 'Motion Pictures']",English,"['Lawrence Kasdan', 'J. J. Abrams', 'Michael Arndt']","['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Peter Mayhew', 'Max von Sydow']","['Mary Jo Markey', 'Maryann Brandon']","['Lucasfilm Ltd.', 'Bad Robot']",2015,0.65,447000000.0,Success
1053,Concussion,Peter Landesman,"['Ridley Scott', 'Giannina Facio', 'David Wolthoff', 'Larry Shuman', 'Elizabeth Cantillon']",Salvatore Totino,122.0,2015-11-10,Sony Pictures Releasing,English,Peter Landesman,"['Will Smith', 'Alec Baldwin', 'Gugu Mbatha-Raw', 'Arliss Howard', 'Paul Reiser', 'Luke Wilson', '', 'David Morse', 'Albert Brooks']",William Goldenberg,"['Columbia Pictures', 'LStar Capital', 'Village Roadshow Pictures', 'Scott Free Productions']",2015,0.72,35000000.0,Failure
1054,Daddy's Home,Sean Anders,"['Will Ferrell', 'Adam McKay', 'Chris Henchy', 'John Morris']",Julio Macat,96.0,2015-12-09,Paramount Pictures,English,"['Brian Burns', 'Sean Anders', 'John Morris']","['Will Ferrell', 'Mark Wahlberg', 'Linda Cardellini']","['Eric Kissack', 'Brad Wilhite']","['Red Granite Pictures', 'Gary Sanchez Productions']",2015,0.5,50000000.0,Success
1055,Joy,David O. Russell,"['John Davis', 'Megan Ellison', 'Jonathan Gordon', 'Ken Mok', 'David O. Russell']",Linus Sandgren,124.0,2015-12-13,20th Century Fox,English,David O. Russell,"['Jennifer Lawrence', 'Robert De Niro', 'Édgar Ramírez', 'Diane Ladd', 'Virginia Madsen', 'Isabella Rossellini', 'Bradley Cooper']","['Alan Baumgarten', 'Jay Cassidy', 'Tom Cross', 'Christopher Tellefsen']","['Fox 2000 Pictures', 'Davis Entertainment Company', 'Annapurna Pictures', 'TSG Entertainment']",2015,0.83,60000000.0,Failure
1056,Point Break,Ericson Core,"['Andrew A. Kosove', 'Broderick Johnson', 'John Baldecchi', 'David Valdes', 'Christopher Taylor', 'Kurt Wimmer']",Ericson Core,114.0,2015-12-01,"['Warner Bros. Pictures (North America, Latin America, United Kingdom, Japan, Russia and Ukraine)', 'Concorde Filmverleih (Germany)', 'China Film Group Corporation (China)', 'Summit Entertainment (International)']",English,Kurt Wimmer,"['Édgar Ramírez', 'Luke Bracey', 'Teresa Palmer', 'Delroy Lindo', 'Ray Winstone']","['Thom Noble', 'Gerald B. Greenberg', 'John Duffy']","['Alcon Entertainment', 'Taylor-Baldecchi-Wimmer Productions', 'DMG Entertainment', 'Studio Babelsberg']",2015,0.49,105000000.0,Failure
1057,The Hateful Eight,Quentin Tarantino,"['Richard N. Gladstein', 'Stacey Sher', 'Shannon McIntosh']",Robert Richardson,187.0,2015-12-07,The Weinstein Company,English,Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins', 'Demián Bichir', 'Tim Roth', 'Michael Madsen', 'Bruce Dern', 'James Parks', 'Channing Tatum']",Fred Raskin,"['The Weinstein Company', 'Shiny Penny', 'FilmColony', 'Double Feature Films', 'Visiona Romantica, Inc.']",2015,0.73,44000000.0,Success
1058,The Revenant,Alejandro G. Iñárritu,"['Arnon Milchan', 'Steve Golin', 'Alejandro G. Iñárritu', 'Mary Parent', 'Keith Redmon', 'James W. Skotchdopole']",Emmanuel Lubezki,156.0,2015-12-16,20th Century Fox,English,"['Mark L. Smith', 'Alejandro G. Iñárritu']","['Leonardo DiCaprio', 'Tom Hardy']",Stephen Mirrione,"['Regency Enterprises', 'RatPac Entertainment', 'New Regency', 'Anonymous Content', 'M Productions', 'Appian Way Productions']",2015,0.79,135000000.0,Success
1059,Anomalisa,"['Charlie Kaufman', 'Duke Johnson']","['Rosa Tran', 'Duke Johnson', 'Charlie Kaufman', 'Dino Stamatopoulos']",Joe Passarelli,90.0,2015-09-04,Paramount Pictures,English,Charlie Kaufman,"['David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']",Garret Elkins,"['Paramount Animation', 'Starburns Industries']",2015,0.62,8000000.0,Failure
1061,Ride Along 2,Tim Story,"['Will Packer', 'Ice Cube', 'Matt Alvarez', 'Larry Brezner']",Mitchell Amundsen,101.0,2016-01-06,Universal Pictures,English,"['Phil Hay', 'Matt Manfredi']","['Ice Cube', 'Kevin Hart', 'Ken Jeong', 'Benjamin Bratt', 'Olivia Munn', 'Bruce McGill', 'Tika Sumpter']",Peter S. Elliot,"['Will Packer Productions', 'Cube Vision']",2016,0.68,40000000.0,Success
1062,13 Hours: The Secret Soldiers of Benghazi,Michael Bay,"['Michael Bay', 'Erwin Stoff']",Dion Beebe,144.0,2016-01-12,Paramount Pictures,English,Chuck Hogan,"['James Badge Dale', 'John Krasinski', 'Max Martini']","['Pietro Scalia', 'Michael McCusker', 'Calvin Wimmer']","['3 Arts Entertainment', 'Bay Films']",2016,0.7,50000000.0,Failure
1064,Dirty Grandpa,Dan Mazer,"['Barry Josephson', 'Bill Block', 'Michael Simkin', 'Jason Barrett']",Eric Alan Edwards,102.0,2016-01-22,Lionsgate,English,John M. Phillips,"['Robert De Niro', 'Zac Efron', 'Aubrey Plaza', 'Zoey Deutch', 'Julianne Hough', 'Dermot Mulroney']",Anne McCabe,"['BillBlock Media', 'Josephson Entertainment', 'QED International']",2016,0.4189189189189189,11500000.0,Success
1065,The 5th Wave,J Blakeson,"['Tobey Maguire', 'Graham King', 'Matthew Plouffe', 'Lynn Harris']",Enrique Chediak,112.0,2016-01-22,Sony Pictures Releasing,English,"['Susannah Grant', 'Akiva Goldsman', 'Jeff Pinkner']","['Chloë Grace Moretz', 'Nick Robinson', 'Ron Livingston', 'Maggie Siff', 'Alex Roe', 'Maria Bello', 'Maika Monroe', 'Liev Schreiber']",Paul Rubell,"['Columbia Pictures', 'LStar Capital', 'GK Films', 'Material Pictures', 'Living Films']",2016,0.56,38000000.0,Success
1066,The Boy,William Brent Bell,"['Matt Berenson', 'Jodyne Herron', 'Gary Lucchesi', 'Tom Rosenberg', 'Jim Wedaa']",Daniel Pearl,97.0,2016-01-20,"['STX Entertainment', ' (United States)', 'Huayi Brothers (China)']",English,Stacey Menear,"['James Russell', 'Lauren Cohan', 'Rupert Evans', 'Jim Norton', 'Diana Hardcastle']",Brian Berdan,"['Lakeshore Entertainment', 'Huayi Brothers Pictures', 'Vertigo Entertainment', 'STXfilms']",2016,0.46,10000000.0,Success
1068,The Finest Hours,Craig Gillespie,"['Jim Whitaker', 'Dorothy Aufiero']",Javier Aguirresarobe,117.0,2016-01-25,"['Walt Disney Studios', 'Motion Pictures']",English,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']","['Chris Pine', 'Casey Affleck', 'Ben Foster', 'Holliday Grainger', 'John Ortiz', 'Eric Bana']",Tatiana S. Riegel,"['Walt Disney Pictures', 'Whitaker Entertainment', 'Red Hawk Entertainment']",2016,0.84,70000000.0,Failure
1069,Fifty Shades of Black,Michael Tiddes,"['Marlon Wayans', 'Rick Alvarez']",David Ortkiese,92.0,2016-01-29,Open Road Films,English,"['Marlon Wayans', 'Rick Alvarez']","['Marlon Wayans', 'Kali Hawk', 'Affion Crockett', 'Jane Seymour', 'Andrew Bachelor', 'Florence Henderson', 'Jenny Zigrino', 'Fred Willard', 'Mike Epps']",Lawrence Jordan,"['IM Global', 'Baby Way Productions']",2016,0.58,5000000.0,Success
